MMS_ID,Language,Image_Path,Ground_Truth,AI_Confidence,AI_Detected_Text
9992493307501488,fre,Demo_Images/9992493307501488_back.jpg,Bruxelles. Parc Léopold [02],0.47,C A RT E | P 0 S T ALE | POSTKAART | Partie réservée à la correspondance | Adresse du destinataire | 2/} | /6 | H6a   5 56LEzs | ~*m3 _ | ~D.auiàZø?_ | 3 | hclv | 7]avve | 9éqh;l.
9991507470101488,fre,Demo_Images/9991507470101488_back.jpg,Bruges. Le jour des rois,0.29,"'MwI/R0914*4e | 9l: | POSFKARFE | BREFKAART | CARFOLNA | POSFALE | MrerLE DIKAYGHE | BEstelLEN oP Zox046 | Ololexıoeacl | ;4 | 1o 2, 2an  | Dz 27e7"
9992713000201488,fre,Demo_Images/9992713000201488_back.jpg,Anvers. Quai Van Dyck [01],0.42,"Yppcé | ARYs; | 746 | CARTE | POSTALEEN | 2 | 9 | POSTKAART | 4 | 9 | 2 | ane | reservée àla correspondance Ponr Jes | Aísssë &saestmat?re. | 3 | 1 | ays dEurope, | 8et' | 145  | 1906 | lleK OP Z0ko46 | ; | Wotsliz | 4 L | 1 | 2 | { | Gepran_ | 1 | H<y | Qfoss   4 | 9T2 3 | 7razze | 1 | J | vß) | { | 01 | eshi 4 | H4 | N< | 8 | 9 | D | 4 ) | (Ja | Yechn } | UTS | itehee€ | RETOUR | ENn F | Terug | aan | afzenderl | 848> | 44 | 1 | 4 | Yæl | /4~ | Dev"
9991989730101488,fre,Demo_Images/9991989730101488_back.jpg,Bruges. Porte maréchale [13],0.56,7222l22 | CARTE | POSTALE | 22 | 42922 | 32/2 | 178422 | 22e 7 | 22
9992312291001488,fre,Demo_Images/9992312291001488_back.jpg,Namur. Ecole des cadets [03],0.51,CARTE POSTALE | POSTKAART | 15 | 449 | (Côté réservé | à ladresse. | Zijde | voor het ` adres | aller | a9ibiuell | Qci a | 4 | Yrenu_de_Ceuchmn | Umnea | (STAT | 801 | 1aàL
9992155906601488,fre,Demo_Images/9992155906601488_back.jpg,Floreffe. La Meunerie,0.54,Yvhuer | Qs1ES | Carte Postale | Postkaart. | FE | (Côté réservé | Padresse. | Zijde voor het adres | 81255 | 1 | 07U | %é | LLLE | all8es) =
9992168891501488,fre,Demo_Images/9992168891501488_back.jpg,Han s/Lesse. L'Eglise,0.35,JBs; | Rouqae2o | Otack | 6 | TÉL | 21 | Cnfaskuul | 9* | 4 | í | 2 | Juckacea | AwA | 1 | {^ | f | PG | Rotiza | w | HoTE_ | ROBERT | < | CEn | 72; 7 : . |  . | DÉME
9992558506601488,fre,Demo_Images/9992558506601488_back.jpg,Genck. Hôtel de la Cloche,0.44,CARTE | POSTALE | POSTKAART | (Côté réservé à ladresse. ~ Zijde voor hetadres alleen ) | e/ua2 | 24: | 706 | ungv | 102 | 9 1 Ull{2 | 4< .2 | Zl-LL | YAnY
9992542387901488,fre,Demo_Images/9992542387901488_back.jpg,Anvers. La Bourse [13],0.39,CARTE POSTALE | POSTKAART | Jlous | Lecc | ifh | l | Justttzt | Lola/ | CoHauaze | 2l | Jelah . | {tel  . | 9642 | HQovm
9992348008001488,fre,Demo_Images/9992348008001488_back.jpg,Ostende. Les Bains [01],0.37,CARTE | PO ST ALB | F | Adresse | 2 | 0 | ^ | Á | Eaaç_oau | À | | )ean^ Ba_l liu | 276 | 8 | Luzenz | f | 'Corre | OE
